benchmark_dir            ,name                                                                          ,length ,PEG2PEGTIME ,PBTIME ,ENGINETIME ,Optimization took ,nodes: ,values:
uninlined-spec/compress/ ,"CodeTable: void set(int,int)"                                                ,1      ,183         ,136    ,4          ,196               ,16     ,16
uninlined-spec/compress/ ,"CodeTable: void clear(int)"                                                  ,3      ,3331        ,2737   ,550        ,3368              ,1163   ,854
uninlined-spec/compress/ ,"CodeTable: void <init>()"                                                    ,-1     ,240         ,162    ,6          ,323               ,18     ,18
uninlined-spec/compress/ ,"Harness: long inst_main(int)"                                                ,3      ,159         ,136    ,1          ,164               ,19     ,19
uninlined-spec/compress/ ,"Harness: void <clinit>()"                                                    ,-1     ,175         ,158    ,2          ,190               ,62     ,61
uninlined-spec/compress/ ,"Harness: void runCompress(int)"                                              ,18     ,1534        ,1023   ,460        ,1688              ,568    ,942
uninlined-spec/compress/ ,"Harness: void <init>()"                                                      ,-1     ,228         ,155    ,5          ,310               ,10     ,10
uninlined-spec/compress/ ,"Harness: void prepareBuffers()"                                              ,7      ,577         ,321    ,238        ,625               ,289    ,779
inlined-spec/compress/   ,"Decompressor: int getCode()"                                                 ,52     ,-1          ,-1     ,-1         ,-1                ,633    ,832
inlined-spec/compress/   ,"Decompressor: void <init>(InputBuffer,OutputBuffer)"                         ,-1     ,8278        ,7715   ,465        ,8538              ,1123   ,952
inlined-spec/compress/   ,"Decompressor: void decompress()"                                             ,208    ,-1          ,-1     ,-1         ,-1                ,1179   ,1092
inlined-spec/compress/   ,"OutputBuffer: void writebytes(byte[],int)"                                   ,3      ,7144        ,6597   ,520        ,7195              ,885    ,728
inlined-spec/compress/   ,"OutputBuffer: int getLength()"                                               ,1      ,161         ,131    ,2          ,166               ,9      ,9
inlined-spec/compress/   ,"OutputBuffer: void writeByte(byte)"                                          ,1      ,190         ,142    ,10         ,202               ,22     ,21
inlined-spec/compress/   ,"OutputBuffer: long getCRC()"                                                 ,3      ,200         ,151    ,7          ,220               ,30     ,30
inlined-spec/compress/   ,"OutputBuffer: void <init>(byte[])"                                           ,-1     ,238         ,158    ,6          ,323               ,14     ,14
inlined-spec/compress/   ,"CodeTable: int of(int)"                                                      ,1      ,168         ,135    ,6          ,177               ,16     ,16
inlined-spec/compress/   ,"CodeTable: void set(int,int)"                                                ,1      ,176         ,134    ,4          ,188               ,16     ,16
